,sum.w,(Intercept),z$religious_,medinc,z$ACS5year_1,z$ACR_5yea_3,(Intercept)_se,z$religious__se,medinc_se,z$ACS5year_1_se,z$ACR_5yea_3_se,gwr.e,pred,pred.se,localR2,(Intercept)_se_EDF,z$religious__se_EDF,medinc_se_EDF,z$ACS5year_1_se_EDF,z$ACR_5yea_3_se_EDF,pred.se.1,X,Y
53,23.25634865,38.24076143,0.186613766,-0.189293203,0.446893616,0.259414708,9.59271282,0.155673531,0.078097633,0.207214491,0.395743644,-4.596659243,44.20665315,4.406967697,0.477610661,9.94098388,0.161325382,0.08093303,0.214737578,0.410111431,4.566966161,480345.4612,3975090.44
54,25.5806724,37.81229572,0.173696996,-0.193625059,0.471239347,0.274043761,9.06268808,0.145861435,0.07401145,0.181697278,0.361812821,0.173097098,48.63956781,3.959434588,0.537272732,9.391716171,0.15115705,0.076698495,0.188293942,0.374948722,4.103185007,527112.0454,3974107.295
55,26.04157477,38.37141667,0.171610315,-0.20707504,0.467690562,0.303812241,8.646032509,0.134876698,0.07269831,0.16736632,0.351563781,-3.578377539,66.63316787,5.632793507,0.563307501,8.959933589,0.139773503,0.07533768,0.173442687,0.364327583,5.837296551,543881.8908,3937542.492
56,24.64711811,37.8943261,0.145076775,-0.213248338,0.528946619,0.318874612,8.58036488,0.13569266,0.074030077,0.159875483,0.342732893,4.2938708,46.71591475,2.178121653,0.637352847,8.891881844,0.14061909,0.076717797,0.165679889,0.355176083,2.25720009,588228.6055,3933157.853
57,23.60837158,34.69657704,0.123241477,-0.188377196,0.636490336,0.330191718,9.040124365,0.151511531,0.077595578,0.164639727,0.355017698,-1.415367219,52.63842365,2.042649905,0.663789879,9.368333263,0.157012277,0.080412747,0.170617103,0.367906897,2.116809933,629335.2942,3956223.682
58,21.88612735,34.29040721,0.088864987,-0.178660058,0.695023416,0.399453961,9.803945165,0.165366906,0.080376903,0.169602135,0.367551819,2.479586237,72.40651854,5.601427655,0.678881465,10.15988518,0.171370683,0.08329505,0.175759676,0.38089608,5.804791937,661728.9763,3940945.798
59,22.27527167,33.77294748,0.055744266,-0.15972943,0.741799848,0.472607863,10.08451301,0.162076034,0.081686256,0.172398461,0.367510584,8.962101594,66.03345555,2.718170026,0.673138624,10.45063927,0.167960333,0.08465194,0.178657524,0.380853347,2.816855348,711785.4746,3939233.973
60,22.72117339,32.67596523,0.069030072,-0.153711248,0.748809796,0.419885366,9.793442849,0.158659595,0.082089292,0.171264609,0.366177142,-9.852065589,57.44651953,3.289478102,0.666973999,10.14900157,0.164419858,0.085069609,0.177482507,0.379471494,3.408905218,713815.2299,3967782.862
61,26.72176399,33.81755752,0.066481942,-0.158923562,0.713658501,0.49545002,8.720933056,0.127689785,0.073315284,0.15557795,0.338672619,0.552308908,75.97699746,3.047095887,0.665057919,9.03755346,0.132325665,0.075977053,0.161226331,0.350968397,3.157723124,766391.6992,3961657.132
62,25.40038469,32.92768919,0.079897093,-0.154834477,0.723110079,0.404266051,8.971173602,0.140051246,0.077253862,0.161459968,0.350442838,11.52199447,50.70530659,2.456341022,0.660679074,9.296879187,0.145135918,0.080058625,0.1673219,0.363165944,2.545520435,719687.0517,3999761.207
63,26.58511035,33.23057637,0.083110061,-0.154575095,0.707266151,0.408449999,8.556901564,0.129909392,0.07418129,0.155789867,0.340809771,0.944414523,66.54200241,2.744752952,0.654339463,8.867566674,0.134625856,0.0768745,0.161445942,0.35318314,2.844403388,731713.0331,4027912.316
64,23.59480459,32.2929865,0.102105558,-0.154169878,0.709512104,0.331034101,9.052251894,0.148841791,0.079773131,0.166163876,0.35951931,-4.657850888,64.50822496,2.351528962,0.649523877,9.380901091,0.15424561,0.082669358,0.172196588,0.372571944,2.43690309,677016.6422,4023629.724
